Gold (OG|GC) G2WQ6 (0.16 DTE) vs 4446.2 (+38) - Open Interest
Put: 3,863  Call: 3,006  Vol: 32.85  Vol Chg: -2.18  Future Chg: 38
Strike,Call,Put,Vol Settle
4360,1,29,0.3474234372192768
4365,10,55,0.34636581679842493
4370,7,56,0.34546308876952025
4375,87,112,0.3447162423617556
4380,36,14,0.34412614188295265
4385,4,28,0.3436935267136505
4390,2,38,0.3434190113121076
4395,6,15,0.34330308519565733
4400,191,65,0.3433461129798161
4405,9,2,0.34354833433189924
4410,14,9,0.3439098639983058
4415,43,7,0.3444306918026996
4420,16,3,0.3451106826414616
4425,87,3,0.3459495764809617
4430,7,8,0.3469469883580132
4435,11,1,0.3481024083939701
4440,38,1,0.3494152017783563
4445,6,0,0.3508846087652273
4450,131,3,0.35250974468954155
4455,27,2,0.3542895999717075
4460,18,0,0.3562230400862063
4465,19,0,0.3583088055870576
4470,21,0,0.3605455121041814
4475,174,0,0.36293165034248887
4480,7,1,0.36546558607005863
4485,7,0,0.36814556014314803
4490,13,0,0.3709696884825462
4495,10,0,0.373935962082669
4500,360,1,0.3770422470106496
4505,9,0,0.38028628441679757
4510,11,0,0.3836656905023119
4515,7,0,0.38717795657339593
4520,68,0,0.3908204489835043
4525,22,0,0.39459040917108723
4530,11,0,0.3984849536477668
4535,3,1,0.40250107399060653
