Gold (OG|GC) G4MN6 (0.42 DTE) vs 4105.7 (+34.9) - Open Interest
Put: 1,830  Call: 1,815  Vol: 14.45  Vol Chg: 0.06  Future Chg: 34.9
Strike,Call,Put,Vol Settle
4050,57,56,0.14975232627512014
4055,54,24,0.14814509396273934
4060,19,14,0.14672288157998992
4065,24,49,0.14549008841640898
4070,31,15,0.14445050419817562
4075,42,69,0.14360730904991215
4080,35,5,0.14296307354743476
4085,41,3,0.14251975869228772
4090,30,1,0.14227871587900154
4095,56,0,0.1422406870078703
4100,301,15,0.1424058043394325
4105,4,5,0.14277359056541172
4110,15,14,0.14334295886692416
4115,12,13,0.14411221277259756
4120,49,1,0.1450790463222802
4125,107,42,0.14624054389969388
4130,27,3,0.14759318040159997
4135,29,0,0.14913282108864223
4140,66,14,0.15085472166538239
4145,11,1,0.15275352830394695
4150,116,8,0.15482327755489678
4155,27,1,0.1570573964036157
4160,6,1,0.15944870230850938
4165,13,0,0.1619894030973228
