Gold (OG|GC) G1MQ6 (0.09 DTE) vs 4059 (-17.6) - Open Interest
Put: 2,645  Call: 2,419  Vol: 18.11  Vol Chg: 3.69  Future Chg: -17.6
Strike,Call,Put,Vol Settle
4025,4,73,0.15465237898933992
4030,6,45,0.15269331757554028
4035,2,88,0.15086728704773122
4040,6,52,0.1491777924584312
4045,1,80,0.14762810439060559
4050,9,99,0.14622125892765325
4055,4,14,0.14496005769433395
4060,4,38,0.1438470677976511
4065,27,65,0.142884621878693
4070,0,110,0.14207481809717137
4075,34,49,0.1414195201068651
4080,12,18,0.14092035710200435
4085,3,4,0.14057872376542946
4090,26,24,0.14039578032407007
